cod_local	ADRIANA AFONSO	Branco	EDUARDO BARRETO	ELÓI PIETÁ	FRAN CORREA	GUTI	JOVINO CANDIDO	Nulo	PROFESSOR AURIEL	PROFESSORA SANDRA SANTOS	RODRIGO TAVARES	SIMONE CARLETO	WAGNER FREITAS	vencedor	v_valid	e_apto	e_comp	e_abst	ADRIANA AFONSO_%	EDUARDO BARRETO_%	ELÓI PIETÁ_%	FRAN CORREA_%	GUTI_%	JOVINO CANDIDO_%	PROFESSOR AURIEL_%	PROFESSORA SANDRA SANTOS_%	RODRIGO TAVARES_%	SIMONE CARLETO_%	WAGNER FREITAS_%	longitude	latitude
L04261	32,00	139,00	2,00	590,00	143,00	450,00	2,00	230,00	8,00	14,00	83,00	24,00	80,00	ELÓI PIETÁ	1428,00	2268	1797	471	2,24	0,14	41,32	10,01	31,51	0,14	0,56	0,98	5,81	1,68	5,60	-46,4253063	-23,4662179
L04262	0,00	0,00	0,00	4,00	0,00	0,00	0,00	2,00	0,00	0,00	0,00	0,00	1,00	ELÓI PIETÁ	5,00	27	7	20	0,00	0,00	80,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	20,00	-46,3700060	-23,4294147
L05429	46,00	224,00	5,00	1032,00	345,00	1481,00	9,00	347,00	1,00	15,00	41,00	6,00	30,00	GUTI	3011,00	4495	3582	913	1,53	0,17	34,27	11,46	49,19	0,30	0,03	0,50	1,36	0,20	1,00	-46,5131387	-23,4051476
L06590	89,00	185,00	10,00	555,00	236,00	1853,00	13,00	390,00	0,00	34,00	164,00	95,00	26,00	GUTI	3075,00	4688	3650	1038	2,89	0,33	18,05	7,67	60,26	0,42	0,00	1,11	5,33	3,09	0,85	-46,5422782	-23,4665988
L06591	13,00	25,00	2,00	77,00	39,00	433,00	1,00	70,00	0,00	12,00	27,00	24,00	3,00	GUTI	631,00	930	726	204	2,06	0,32	12,20	6,18	68,62	0,16	0,00	1,90	4,28	3,80	0,48	-46,5366482	-23,4602980
L06592	93,00	153,00	9,00	553,00	165,00	1484,00	7,00	325,00	3,00	31,00	127,00	66,00	18,00	GUTI	2556,00	3854	3034	820	3,64	0,35	21,64	6,46	58,06	0,27	0,12	1,21	4,97	2,58	0,70	-46,5439730	-23,4607010
L06593	86,00	149,00	7,00	518,00	199,00	1606,00	10,00	377,00	1,00	29,00	108,00	115,00	19,00	GUTI	2698,00	4182	3224	958	3,19	0,26	19,20	7,38	59,53	0,37	0,04	1,07	4,00	4,26	0,70	-46,5414079	-23,4675541
L06594	36,00	79,00	10,00	212,00	71,00	721,00	3,00	148,00	0,00	27,00	55,00	28,00	15,00	GUTI	1178,00	1732	1405	327	3,06	0,85	18,00	6,03	61,21	0,25	0,00	2,29	4,67	2,38	1,27	-46,5388627	-23,4567760
L06595	5,00	22,00	0,00	27,00	24,00	170,00	1,00	50,00	0,00	7,00	9,00	17,00	3,00	GUTI	263,00	448	335	113	1,90	0,00	10,27	9,13	64,64	0,38	0,00	2,66	3,42	6,46	1,14	-46,5435717	-23,4840799
L06596	54,00	143,00	6,00	351,00	203,00	1487,00	10,00	287,00	1,00	37,00	92,00	73,00	15,00	GUTI	2329,00	3481	2759	722	2,32	0,26	15,07	8,72	63,85	0,43	0,04	1,59	3,95	3,13	0,64	-46,5433698	-23,4792971
L06597	76,00	152,00	7,00	500,00	130,00	1316,00	9,00	306,00	0,00	20,00	78,00	32,00	19,00	GUTI	2187,00	3181	2645	536	3,48	0,32	22,86	5,94	60,17	0,41	0,00	0,91	3,57	1,46	0,87	-46,5597602	-23,4667730
L06598	72,00	209,00	4,00	367,00	273,00	1445,00	9,00	340,00	1,00	46,00	62,00	63,00	29,00	GUTI	2371,00	3746	2920	826	3,04	0,17	15,48	11,51	60,94	0,38	0,04	1,94	2,61	2,66	1,22	-46,5543334	-23,5001704
L06599	130,00	362,00	1,00	933,00	249,00	2052,00	36,00	566,00	16,00	62,00	164,00	49,00	60,00	GUTI	3752,00	5873	4680	1193	3,46	0,03	24,87	6,64	54,69	0,96	0,43	1,65	4,37	1,31	1,60	-46,5552762	-23,4757201
L06600	129,00	393,00	12,00	779,00	391,00	2750,00	13,00	723,00	6,00	79,00	168,00	184,00	51,00	GUTI	4562,00	7282	5678	1604	2,83	0,26	17,08	8,57	60,28	0,28	0,13	1,73	3,68	4,03	1,12	-46,5491135	-23,5030590
L06601	92,00	90,00	2,00	313,00	98,00	773,00	15,00	191,00	0,00	24,00	76,00	28,00	11,00	GUTI	1432,00	2100	1713	387	6,42	0,14	21,86	6,84	53,98	1,05	0,00	1,68	5,31	1,96	0,77	-46,5494943	-23,4686972
L06602	87,00	270,00	14,00	686,00	290,00	1721,00	13,00	516,00	5,00	53,00	105,00	86,00	35,00	GUTI	3095,00	4911	3881	1030	2,81	0,45	22,16	9,37	55,61	0,42	0,16	1,71	3,39	2,78	1,13	-46,5492677	-23,4848483
L06603	138,00	185,00	10,00	639,00	197,00	1884,00	8,00	454,00	2,00	43,00	128,00	72,00	33,00	GUTI	3154,00	4736	3793	943	4,38	0,32	20,26	6,25	59,73	0,25	0,06	1,36	4,06	2,28	1,05	-46,5529975	-23,4682223
